M1_X,M1_Y,M1_Z,M2_X,M2_Y,M2_Z,M3_X,M3_Y,M3_Z,M4_X,M4_Y,M4_Z,M5_X,M5_Y,M5_Z,M6_X,M6_Y,M6_Z,M7_X,M7_Y,M7_Z,M8_X,M8_Y,M8_Z,M9_X,M9_Y,M9_Z,M10_X,M10_Y,M10_Z,M11_X,M11_Y,M11_Z,M12_X,M12_Y,M12_Z,M13_X,M13_Y,M13_Z,M14_X,M14_Y,M14_Z,M15_X,M15_Y,M15_Z,M16_X,M16_Y,M16_Z,M17_X,M17_Y,M17_Z,M18_X,M18_Y,M18_Z,M19_X,M19_Y,M19_Z,M20_X,M20_Y,M20_Z,M21_X,M21_Y,M21_Z,M22_X,M22_Y,M22_Z,M23_X,M23_Y,M23_Z,M24_X,M24_Y,M24_Z,M25_X,M25_Y,M25_Z,M26_X,M26_Y,M26_Z,M27_X,M27_Y,M27_Z,M28_X,M28_Y,M28_Z,M29_X,M29_Y,M29_Z,M30_X,M30_Y,M30_Z,M31_X,M31_Y,M31_Z,M32_X,M32_Y,M32_Z,M33_X,M33_Y,M33_Z,M34_X,M34_Y,M34_Z,M35_X,M35_Y,M35_Z,M36_X,M36_Y,M36_Z,M37_X,M37_Y,M37_Z,M38_X,M38_Y,M38_Z,M39_X,M39_Y,M39_Z,M40_X,M40_Y,M40_Z,M41_X,M41_Y,M41_Z,M42_X,M42_Y,M42_Z,M43_X,M43_Y,M43_Z,M44_X,M44_Y,M44_Z,M45_X,M45_Y,M45_Z,M46_X,M46_Y,M46_Z,M47_X,M47_Y,M47_Z,M48_X,M48_Y,M48_Z,M49_X,M49_Y,M49_Z,M50_X,M50_Y,M50_Z,M51_X,M51_Y,M51_Z,M52_X,M52_Y,M52_Z,M53_X,M53_Y,M53_Z
2639.408,1623.648,-70.16,2562.207,1553.125,-54.364,2557.96,1561.032,61.988,2728.98,1563.85,-40.189,2715.151,1562.895,66.493,2633.81,1400.657,161.775,2631.723,1184.764,234.021,2692.918,1299.043,14.575,2714.223,1133.353,5.638,2568.54,1288.18,2.951,2503.442,1323.044,164.868,2417.342,1136.646,114.949,2424.294,1028.551,80.839,2476.519,1021.772,135.858,2528.683,880.392,-47.521,2595.647,932.45,-50.192,2487.655,936.44,-3.531,2618.741,875.338,-114.101,2577.489,831.654,-96.073,2813.456,1314.177,90.135,2736.224,1348.063,240.778,2848.627,1257.712,308.684,2897.596,1139.02,351.097,2820.724,1117.886,363.983,2931.1,913.522,315.093,2927.936,935.883,237.237,2931.734,1016.574,318.857,2958.958,893.208,231.46,2957.371,844.526,284.784,0.0,0.0,0.0,2734.39,960.324,-3.407,2569.05,972.923,207.94,2823.768,982.523,87.25,2669.591,986.427,244.278,2756.54,995.28,251.279,2596.972,612.111,78.486,2596.855,446.032,174.581,2707.448,431.105,188.765,2570.316,351.912,287.226,2598.011,134.668,408.311,2621.184,123.223,499.142,2630.286,45.715,317.281,2714.927,42.158,352.95,2697.756,39.341,281.603,2864.603,638.126,159.498,2884.357,484.882,56.574,2791.747,462.429,13.453,2878.136,302.407,108.465,2863.459,144.102,234.692,2791.715,117.01,297.047,2920.688,80.724,127.611,2850.494,72.129,102.185,2888.599,61.755,66.186
2643.2,1627.623,-81.553,2566.004,1557.344,-65.609,2562.197,1565.164,50.817,2732.78,1567.653,-52.011,2719.448,1566.692,54.699,2637.846,1404.743,149.644,2635.969,1189.142,221.697,2696.818,1303.71,2.438,2717.802,1138.007,-6.784,2572.596,1293.201,-9.466,2507.394,1327.465,152.945,2421.934,1141.029,102.0,2427.437,1032.494,68.488,2481.556,1026.613,123.054,2540.698,889.299,-61.564,2606.138,943.129,-62.345,2497.245,943.817,-17.513,2631.873,887.524,-126.632,2591.45,842.536,-109.959,2817.505,1318.602,77.836,2740.201,1352.649,228.324,2851.848,1264.802,297.336,2900.584,1146.788,341.92,2823.677,1125.609,354.19,2935.008,920.731,309.091,2932.571,941.971,230.872,2935.402,1023.911,311.575,2963.582,899.136,225.97,2961.504,851.271,280.014,0.0,0.0,0.0,2737.481,964.832,-16.302,2573.416,977.503,195.576,2827.382,987.065,73.826,2674.036,991.075,231.685,2760.995,999.884,237.957,2598.627,615.898,69.046,2597.802,450.626,167.0,2708.229,434.564,179.86,2570.986,357.741,280.796,2598.177,140.006,402.788,2621.813,131.185,493.473,2630.12,46.161,315.697,2714.688,44.251,351.058,2697.641,39.175,280.276,2866.871,642.389,147.187,2885.786,488.758,43.926,2793.468,467.083,1.01,2881.931,304.022,87.422,2870.017,139.111,205.276,2799.815,108.892,268.192,2926.928,81.598,93.677,2854.581,73.878,69.548,2892.118,65.277,32.341
2647.051,1631.207,-92.894,2569.835,1561.324,-77.109,2566.441,1568.642,39.689,2736.64,1571.022,-63.792,2723.671,1569.912,42.958,2641.871,1408.782,138.406,2640.165,1193.003,209.387,2700.742,1307.852,-9.937,2721.377,1142.09,-19.272,2576.564,1297.688,-21.762,2511.313,1331.393,140.994,2426.444,1145.055,89.144,2433.08,1036.549,54.908,2486.377,1030.917,110.287,2552.26,897.906,-75.286,2616.169,953.441,-74.359,2506.573,950.76,-31.352,2644.422,899.399,-138.948,2605.0,853.142,-123.554,2821.525,1322.427,65.458,2744.206,1356.694,215.694,2855.175,1271.241,285.642,2903.732,1153.976,332.382,2826.853,1132.702,343.996,2939.104,927.467,302.436,2937.265,947.655,223.866,2939.227,1030.804,303.726,2968.261,904.673,219.76,2965.763,857.573,274.488,0.0,0.0,0.0,2740.509,968.831,-29.04,2577.705,981.489,183.276,2830.94,991.091,60.447,2678.384,995.143,219.134,2765.24,1004.212,224.717,2600.582,619.201,59.275,2598.913,454.69,158.789,2709.296,437.471,170.561,2571.776,363.168,273.839,2598.313,145.189,397.094,2622.442,139.06,487.605,2630.156,46.679,313.956,2714.555,46.627,348.906,2697.726,38.591,279.258,2869.217,646.174,135.176,2887.33,492.025,31.467,2795.183,471.141,-11.043,2885.444,305.427,66.572,2876.041,134.658,175.89,2807.084,101.078,238.676,2930.494,82.151,60.602,2857.725,76.385,37.374,2894.553,69.526,-1.013
2650.779,1634.278,-104.023,2573.612,1564.526,-88.228,2570.636,1571.503,28.615,2740.441,1573.896,-75.51,2727.887,1572.542,31.25,2645.966,1411.779,126.234,2644.283,1196.265,196.993,2704.6,1311.334,-22.283,2724.812,1145.516,-31.786,2580.44,1301.571,-34.074,2515.246,1334.77,129.049,2430.827,1148.483,76.454,2438.537,1040.001,41.444,2490.934,1034.53,97.447,2563.366,905.989,-88.818,2625.693,963.277,-86.197,2515.53,957.226,-44.931,2656.357,910.888,-151.105,2617.973,863.325,-136.863,2825.503,1325.561,52.948,2749.392,1358.441,200.329,2858.655,1276.99,273.735,2907.039,1160.492,322.506,2830.209,1139.085,333.698,2943.209,933.469,294.979,2942.034,952.841,216.297,2943.263,1037.101,295.383,2973.205,909.758,212.687,2970.249,863.297,268.202,0.0,0.0,0.0,2743.538,972.227,-41.931,2581.884,984.835,171.122,2834.455,994.522,47.084,2682.646,998.624,206.583,2769.618,1007.429,211.688,2602.897,621.945,49.089,2600.367,458.173,150.013,2710.381,439.72,160.785,2572.682,368.16,266.366,2598.432,150.353,391.283,2623.111,146.956,481.638,2630.238,47.316,312.185,2714.499,49.383,346.482,2697.259,38.43,277.4,2871.8,649.478,123.336,2889.045,494.612,19.195,2796.926,474.584,-22.674,2888.67,306.592,45.989,2881.385,130.303,146.871,2813.491,93.735,209.25,2933.272,83.31,27.928,2860.03,79.221,5.292,2895.423,74.199,-33.798
2654.546,1636.884,-115.159,2577.346,1567.232,-99.153,2574.831,1573.77,17.6,2744.226,1576.302,-87.198,2732.053,1574.548,19.587,2650.114,1414.174,114.057,2648.404,1198.901,184.789,2708.348,1314.013,-34.616,2728.238,1148.238,-44.326,2584.24,1304.723,-46.252,2519.217,1337.578,117.33,2435.116,1151.312,63.845,2443.71,1042.884,28.117,2495.397,1037.56,84.845,2573.988,913.579,-102.131,2634.579,972.366,-97.858,2524.073,963.134,-58.338,2667.661,921.902,-163.071,2630.47,872.912,-149.842,2829.417,1328.004,40.342,2753.643,1360.906,187.449,2862.414,1281.971,261.652,2910.608,1166.186,312.24,2833.769,1144.657,323.099,2947.9,938.901,287.091,2946.885,957.372,208.127,2947.48,1042.622,286.557,2977.905,914.156,205.225,2974.918,868.381,261.132,0.0,0.0,0.0,2746.752,975.096,-54.923,2586.004,987.457,159.008,2837.973,997.326,33.721,2686.849,1001.377,194.073,2773.888,1010.255,198.751,2605.48,624.159,38.578,2602.176,461.013,140.589,2711.781,441.351,150.497,2573.682,372.74,258.346,2598.511,155.532,385.451,2623.676,154.867,475.496,2630.276,47.964,310.371,2714.474,52.671,343.698,2696.528,38.428,274.142,2874.842,652.229,111.488,2890.928,496.298,7.133,2798.783,477.313,-34.068,2891.547,307.431,25.72,2886.001,126.349,118.345,2819.162,86.862,180.167,2935.326,84.585,-3.779,2861.536,82.725,-25.269,2896.19,79.6,-65.216
2658.293,1638.976,-126.172,2581.09,1569.413,-110.11,2578.956,1575.404,6.619,2747.977,1578.16,-98.855,2736.202,1575.957,7.99,2654.297,1415.944,101.851,2652.49,1200.883,172.525,2712.003,1315.931,-46.741,2731.542,1150.219,-56.852,2587.952,1307.124,-58.36,2523.083,1339.658,105.364,2439.242,1153.499,51.328,2448.739,1045.069,14.914,2499.706,1039.924,72.35,2584.062,920.538,-115.22,0.0,0.0,0.0,2532.23,968.397,-71.56,2678.357,932.376,-174.801,2642.437,882.112,-162.668,2833.346,1329.697,27.578,2757.918,1362.713,174.682,2866.336,1286.101,249.446,2914.497,1171.017,301.64,2837.686,1149.402,312.473,2952.58,943.456,278.473,2951.83,961.212,199.355,2951.874,1047.294,277.21,2982.904,917.921,196.941,2979.738,872.64,253.295,0.0,0.0,0.0,2749.775,977.126,-67.711,2590.101,989.352,147.012,2841.469,999.42,20.431,2691.083,1003.433,181.679,2778.136,1012.405,185.832,2608.309,625.817,27.577,2604.342,463.217,130.379,2713.416,442.366,139.6,2574.951,376.897,249.511,2598.564,160.742,379.477,2624.238,162.837,469.221,2630.128,48.713,308.74,2714.452,56.312,340.537,2696.251,38.163,271.913,2878.346,654.353,99.379,2892.892,497.413,-4.913,2800.74,479.257,-45.208,2894.171,307.903,5.907,2890.002,122.708,90.648,2823.958,80.678,151.778,2937.161,85.798,-34.074,2863.479,86.295,-53.409,2896.862,85.245,-95.172
2662.018,1640.521,-137.088,2584.799,1571.017,-121.212,2583.115,1576.466,-4.241,2751.689,1579.449,-110.42,2740.329,1576.745,-3.57,2658.476,1417.042,89.654,2656.691,1202.163,160.323,2715.604,1317.105,-59.104,2734.784,1151.474,-69.342,2591.518,1308.691,-70.277,2527.062,1341.042,93.612,2443.322,1154.98,38.943,2453.572,1046.607,1.945,2504.0,1041.586,59.895,2593.497,926.742,-128.177,2658.415,991.715,-121.67,2539.842,972.986,-84.454,2688.294,942.095,-186.358,2653.762,890.549,-175.323,2837.194,1330.636,14.817,2762.393,1363.786,161.901,2870.563,1289.331,237.095,2918.701,1174.896,290.703,2841.918,1153.181,301.547,2957.42,947.122,269.277,2956.912,964.239,190.043,2956.539,1051.034,267.317,2987.995,920.922,188.011,2984.786,876.128,244.772,0.0,0.0,0.0,2752.834,978.44,-80.455,2594.264,990.6,135.161,2844.964,1000.778,7.207,2695.38,1004.775,169.393,2782.428,1013.835,172.926,2611.354,626.911,16.062,2606.754,464.72,119.31,2715.367,442.722,128.029,2576.452,380.718,239.955,2598.654,166.056,373.471,2624.935,170.843,462.75,2629.986,49.644,306.945,2714.753,60.338,336.865,2696.193,37.469,269.991,2882.323,655.787,86.94,2895.048,497.875,-17.054,2802.683,480.475,-56.261,2896.667,307.958,-13.397,2893.487,119.391,64.066,2827.985,75.03,124.239,2937.533,86.209,-60.403,2864.296,89.663,-81.58,2897.706,90.188,-123.199
2665.815,1641.506,-147.924,2588.357,1572.006,-131.982,2587.247,1576.854,-15.203,2755.402,1580.141,-121.927,2744.431,1576.912,-15.071,2662.736,1417.474,77.483,2661.037,1202.782,148.347,2719.153,1317.587,-71.388,2737.974,1152.017,-81.779,2595.108,1309.523,-82.265,2531.192,1341.721,82.158,2447.318,1155.757,26.654,2458.253,1047.454,-10.827,2508.268,1042.581,47.718,2602.103,932.142,-141.146,2663.12,996.516,-133.642,2546.991,976.797,-97.147,2697.511,950.965,-197.702,2664.47,898.314,-187.906,2841.042,1330.829,1.936,2766.952,1364.211,149.215,2875.107,1291.622,224.583,2923.296,1177.764,279.406,2846.508,1155.974,290.334,2962.484,949.824,259.393,2962.094,966.43,180.099,2961.445,1053.803,256.924,2993.236,923.071,178.443,2990.009,878.672,235.506,0.0,0.0,0.0,2755.919,979.053,-93.18,2598.516,991.07,123.384,2848.485,1001.425,-5.964,2699.773,1005.311,157.108,2786.864,1014.5,160.176,2614.522,627.453,4.069,2609.288,465.424,107.284,2717.659,442.421,115.783,2578.141,384.096,229.578,2598.716,171.364,367.068,2625.634,178.833,456.023,2629.344,50.854,304.587,2714.98,64.51,333.159,2695.58,36.985,267.884,2886.607,656.384,74.111,2897.521,497.674,-29.426,2804.663,480.963,-67.288,2899.074,307.75,-31.765,2896.559,116.37,38.958,2831.358,69.775,97.832,2938.055,87.319,-89.205,2865.933,92.803,-107.581,2899.07,94.86,-149.256
2669.451,1641.842,-158.683,2591.995,1572.401,-142.984,2591.322,1576.552,-26.084,2759.061,1580.2,-133.312,2748.537,1576.375,-26.477,2666.986,1417.184,65.384,2665.443,1202.632,136.335,0.0,0.0,0.0,2741.187,1151.833,-94.196,2598.561,1309.612,-93.983,2535.235,1341.59,70.473,2451.267,1155.836,14.669,2462.768,1047.581,-23.377,2512.477,1042.851,35.752,2610.247,936.632,-153.813,2664.408,1001.486,-143.349,2553.679,979.799,-109.577,2705.946,958.868,-208.893,2674.404,905.094,-200.212,2844.873,1330.307,-10.929,2771.603,1363.955,136.652,2879.892,1292.846,211.847,2928.232,1179.607,267.756,2851.491,1157.745,278.949,2967.85,951.554,248.952,2967.4,967.714,169.526,2966.6,1055.573,245.954,2998.578,924.318,168.171,2995.421,880.271,225.535,0.0,0.0,0.0,2759.068,978.974,-105.876,2602.888,990.83,111.701,2852.036,1001.3,-19.027,2704.29,1005.078,144.953,2791.411,1014.397,147.498,2617.877,627.444,-8.373,2611.991,465.347,94.426,2720.24,441.47,102.824,2580.112,387.021,218.413,2598.877,176.633,360.411,2626.372,186.726,449.0,2629.622,52.0,302.824,2714.949,68.923,328.612,2694.836,36.385,265.662,2890.97,656.161,60.907,2900.088,496.867,-41.985,2806.619,480.729,-78.414,2901.374,307.186,-49.207,2899.388,113.649,15.499,2834.314,64.979,73.013,2941.776,89.725,-111.264,2867.201,95.948,-131.251,2901.124,99.212,-173.201
2673.01,1641.495,-169.323,2595.552,1572.116,-153.833,2595.353,1575.594,-36.935,2762.689,1579.63,-144.64,2752.571,1575.182,-37.82,2671.224,1416.217,53.353,2669.897,1201.714,124.403,0.0,0.0,0.0,2744.426,1150.956,-106.517,2602.025,1308.946,-105.704,2539.337,1340.722,58.902,2455.187,1155.242,2.756,2467.072,1047.018,-35.551,2516.643,1042.356,23.787,2617.837,940.204,-166.178,2670.256,1006.222,-154.353,2559.901,981.836,-121.749,2713.593,965.674,-220.067,2683.544,910.892,-212.318,2848.706,1329.078,-23.789,2776.273,1362.914,123.911,2884.999,1293.11,199.012,2933.516,1180.374,255.748,2856.8,1158.434,267.269,2973.408,952.234,237.808,2972.813,968.035,158.323,2971.944,1056.282,234.372,3004.0,924.597,157.167,3000.994,880.877,214.808,0.0,0.0,0.0,2762.272,978.191,-118.512,2607.34,989.879,100.147,2855.648,1000.461,-32.045,2708.895,1004.087,132.827,2796.077,1013.39,134.808,2621.374,626.826,-21.144,2614.814,464.403,80.797,2723.06,439.787,89.197,2582.332,389.471,206.598,2599.135,181.89,353.55,2627.164,194.496,441.556,2629.515,53.543,300.097,2714.47,73.223,323.885,2693.756,34.881,265.179,2895.332,655.163,47.443,2902.559,495.453,-54.624,2808.588,479.983,-89.853,2903.761,306.176,-65.813,2902.003,111.057,-6.156,2836.927,60.591,49.886,2944.675,91.21,-133.35,2870.027,97.924,-153.256,2903.998,102.589,-194.969
